grid_cell_id,lon,lat,lat_abs,land_fraction,ocean_basin,psl_trend,GMST_trend,AMV_index,IPO_index,member,psl_trend_forced,row_id,member_id
79,198.75,-88.75,88.75,1.0,0,-366.5093375520921,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-158.10480931624724,1A_79,0
80,201.25,-88.75,88.75,1.0,0,-365.8656325528671,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-158.33407383679327,1A_80,0
81,203.75,-88.75,88.75,1.0,0,-365.2182963643285,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-158.55017933499872,1A_81,0
82,206.25,-88.75,88.75,1.0,0,-364.4474273091049,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-158.79325046730796,1A_82,0
83,208.75,-88.75,88.75,1.0,0,-363.5948393259556,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-159.04042958158809,1A_83,0
84,211.25,-88.75,88.75,1.0,0,-362.7739115904954,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-159.2719485159911,1A_84,0
85,213.75,-88.75,88.75,1.0,0,-361.79061421783575,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-159.52888305412375,1A_85,0
86,216.25,-88.75,88.75,1.0,0,-360.7387505809475,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-159.793088051231,1A_86,0
87,218.75,-88.75,88.75,1.0,0,-359.72856269550186,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-160.03942810488283,1A_87,0
88,221.25,-88.75,88.75,1.0,0,-358.54998199823825,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-160.3201014488576,1A_88,0
89,223.75,-88.75,88.75,1.0,0,-357.319694380324,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-160.60945998291655,1A_89,0
90,226.25,-88.75,88.75,1.0,0,-356.165119440241,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-160.88389396487153,1A_90,0
91,228.75,-88.75,88.75,1.0,0,-354.8357070513085,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-161.19782541506763,1A_91,0
92,231.25,-88.75,88.75,1.0,0,-353.4609523870989,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-161.528896481676,1A_92,0
93,233.75,-88.75,88.75,1.0,0,-352.1873774189226,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-161.84583625676265,1A_93,0
94,236.25,-88.75,88.75,1.0,0,-350.76794021825896,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-162.21240162170443,1A_94,0
95,238.75,-88.75,88.75,1.0,0,-349.304995784391,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-162.59599911375665,1A_95,0
96,241.25,-88.75,88.75,1.0,0,-347.981119034736,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-162.96674352627892,1A_96,0
97,243.75,-88.75,88.75,1.0,0,-346.5224922192247,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-163.39385116295497,1A_97,0
98,246.25,-88.75,88.75,1.0,0,-345.07987865899366,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-163.84356500485382,1A_98,0
99,248.75,-88.75,88.75,1.0,0,-343.78482986142365,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-164.2672958170201,1A_99,0
100,251.25,-88.75,88.75,1.0,0,-342.3853103485786,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-164.7499753715557,1A_100,0
101,253.75,-88.75,88.75,1.0,0,-341.0281063551716,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-165.2500156239678,1A_101,0
102,256.25,-88.75,88.75,1.0,0,-339.8481416397344,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-165.71541527272836,1A_102,0
103,258.75,-88.75,88.75,1.0,0,-338.6069273814689,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-166.23298986303192,1A_103,0
104,261.25,-88.75,88.75,1.0,0,-337.43929622785123,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-166.7548878066193,1A_104,0
105,263.75,-88.75,88.75,1.0,0,-336.44923551611333,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-167.23034395816654,1A_105,0
106,266.25,-88.75,88.75,1.0,0,-335.44562248823985,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-167.74828072922082,1A_106,0
107,268.75,-88.75,88.75,1.0,0,-334.5374628366849,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-168.25536955780566,1A_107,0
108,271.25,-88.75,88.75,1.0,0,-333.78376210799547,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-168.70561955396224,1A_108,0
109,273.75,-88.75,88.75,1.0,0,-333.047823565966,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-169.18188431958313,1A_109,0
110,276.25,-88.75,88.75,1.0,0,-332.3976325176234,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-169.63250999167997,1A_110,0
111,278.75,-88.75,88.75,1.0,0,-331.90023203030904,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.02273390884235,1A_111,0
112,281.25,-88.75,88.75,1.0,0,-331.4365520137361,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.42390899799747,1A_112,0
113,283.75,-88.75,88.75,1.0,0,-331.04890862310185,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.79203083591258,1A_113,0
114,286.25,-88.75,88.75,1.0,0,-330.7672584385871,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.10085822269662,1A_114,0
115,288.75,-88.75,88.75,1.0,0,-330.5330212339843,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.40405535435153,1A_115,0
116,291.25,-88.75,88.75,1.0,0,-330.3553771559125,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.67216208053728,1A_116,0
117,293.75,-88.75,88.75,1.0,0,-330.2588397921203,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.89036860601823,1A_117,0
118,296.25,-88.75,88.75,1.0,0,-330.2092304792741,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.09318967177015,1A_118,0
119,298.75,-88.75,88.75,1.0,0,-330.2103802929625,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.26336529745188,1A_119,0
120,301.25,-88.75,88.75,1.0,0,-330.24127602921686,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.39234226067344,1A_120,0
121,303.75,-88.75,88.75,1.0,0,-330.3192276669316,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.50508712871397,1A_121,0
122,306.25,-88.75,88.75,1.0,0,-330.4303430678295,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.58956655284297,1A_122,0
123,308.75,-88.75,88.75,1.0,0,-330.5490239728903,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.64692790262052,1A_123,0
124,311.25,-88.75,88.75,1.0,0,-330.7059324079326,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.68550141312608,1A_124,0
125,313.75,-88.75,88.75,1.0,0,-330.89022999239376,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.70562218545703,1A_125,0
126,316.25,-88.75,88.75,1.0,0,-331.06562670899007,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.71244727289124,1A_126,0
127,318.75,-88.75,88.75,1.0,0,-331.2646860913527,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.7026691486857,1A_127,0
128,321.25,-88.75,88.75,1.0,0,-331.47448471125404,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.68647005752075,1A_128,0
129,323.75,-88.75,88.75,1.0,0,-331.6646345252419,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.66512622016683,1A_129,0
130,326.25,-88.75,88.75,1.0,0,-331.87443326506855,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.63529144452022,1A_130,0
131,328.75,-88.75,88.75,1.0,0,-332.0915677497724,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.601005581065,1A_131,0
132,331.25,-88.75,88.75,1.0,0,-332.2651457907549,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.56638948346975,1A_132,0
133,333.75,-88.75,88.75,1.0,0,-332.46503797465897,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.52861391054708,1A_133,0
134,336.25,-88.75,88.75,1.0,0,-332.6572550708364,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.49111684485294,1A_134,0
135,338.75,-88.75,88.75,1.0,0,-332.82226713772206,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.45729429997303,1A_135,0
136,341.25,-88.75,88.75,1.0,0,-333.010452973076,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.4196791776102,1A_136,0
137,343.75,-88.75,88.75,1.0,0,-333.1890106367112,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.3833375061798,1A_137,0
138,346.25,-88.75,88.75,1.0,0,-333.3519436401563,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.35569569296146,1A_138,0
139,348.75,-88.75,88.75,1.0,0,-333.5434033853227,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.3193063415817,1A_139,0
140,351.25,-88.75,88.75,1.0,0,-333.7283101640485,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.28404236137496,1A_140,0
141,353.75,-88.75,88.75,1.0,0,-333.9102173898251,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.25254040488022,1A_141,0
142,356.25,-88.75,88.75,1.0,0,-334.1214460740022,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.2176378714217,1A_142,0
143,358.75,-88.75,88.75,1.0,0,-334.35410560973804,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.1789611882661,1A_143,0
144,1.25,-86.25,86.25,1.0,0,-300.75025507774166,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-183.15636069160945,1A_144,0
145,3.75,-86.25,86.25,1.0,0,-300.8469712951294,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-183.27171394384945,1A_145,0
146,6.25,-86.25,86.25,1.0,0,-301.10354722994725,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-183.33082972863,1A_146,0
147,8.75,-86.25,86.25,1.0,0,-301.48708041064214,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-183.3360622608969,1A_147,0
148,11.25,-86.25,86.25,1.0,0,-302.06824618747834,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-183.2746303380773,1A_148,0
149,13.75,-86.25,86.25,1.0,0,-302.81116465112524,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-183.14519430383027,1A_149,0
150,16.25,-86.25,86.25,1.0,0,-303.62866553409265,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-182.96181169291995,1A_150,0
151,18.75,-86.25,86.25,1.0,0,-304.6631901880134,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-182.67660381649185,1A_151,0
152,21.25,-86.25,86.25,1.0,0,-305.8102376762903,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-182.29610203779447,1A_152,0
153,23.75,-86.25,86.25,1.0,0,-306.9416379134555,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-181.8632363090687,1A_153,0
154,26.25,-86.25,86.25,1.0,0,-308.23922865883145,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-181.27468746114843,1A_154,0
155,28.75,-86.25,86.25,1.0,0,-309.57804437846335,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-180.57173706501376,1A_155,0
156,31.25,-86.25,86.25,1.0,0,-310.80262817638913,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-179.8232039911902,1A_156,0
157,33.75,-86.25,86.25,1.0,0,-312.1066711116517,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-178.87441448768638,1A_157,0
158,36.25,-86.25,86.25,1.0,0,-313.33645115040395,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-177.8007073064937,1A_158,0
159,38.75,-86.25,86.25,1.0,0,-314.3753874606153,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-176.72049748748296,1A_159,0
160,41.25,-86.25,86.25,1.0,0,-315.3834998086681,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-175.42734445010274,1A_160,0
161,43.75,-86.25,86.25,1.0,0,-316.23641091403016,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-174.04953511489103,1A_161,0
162,46.25,-86.25,86.25,1.0,0,-316.866873340698,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-172.74567004971848,1A_162,0
163,48.75,-86.25,86.25,1.0,0,-317.3923589725611,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.29298523002691,1A_163,0
164,51.25,-86.25,86.25,1.0,0,-317.75482117753614,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-169.86790720160272,1A_164,0
165,53.75,-86.25,86.25,1.0,0,-317.95074027878155,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-168.6347153863965,1A_165,0
166,56.25,-86.25,86.25,1.0,0,-318.0633107557989,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-167.40267500614345,1A_166,0
167,58.75,-86.25,86.25,1.0,0,-318.0952099633104,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-166.34840689117584,1A_167,0
168,61.25,-86.25,86.25,1.0,0,-318.0763820778789,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-165.57963902391256,1A_168,0
169,63.75,-86.25,86.25,1.0,0,-318.07030162751903,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-164.9899064698659,1A_169,0
170,66.25,-86.25,86.25,1.0,0,-318.116195305203,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-164.68727853295096,1A_170,0
171,68.75,-86.25,86.25,1.0,0,-318.22861111374834,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-164.664481922714,1A_171,0
172,71.25,-86.25,86.25,1.0,0,-318.48561141853696,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-164.92568136293684,1A_172,0
173,73.75,-86.25,86.25,1.0,0,-318.8964694698328,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-165.45814509746413,1A_173,0
174,76.25,-86.25,86.25,1.0,0,-319.4074403140156,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-166.14353434793202,1A_174,0
175,78.75,-86.25,86.25,1.0,0,-320.1658241094532,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-167.08400040858962,1A_175,0
176,81.25,-86.25,86.25,1.0,0,-321.0997666535977,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-168.15352881882893,1A_176,0
177,83.75,-86.25,86.25,1.0,0,-322.0927957545548,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-169.18289539297427,1A_177,0
178,86.25,-86.25,86.25,1.0,0,-323.3411957372725,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-170.32903261870578,1A_178,0
179,88.75,-86.25,86.25,1.0,0,-324.7199492660244,0.8201975651949048,-0.0180617111891349,-0.026760523287092,1A,-171.424533020721,1A_179,0
